;Eau;Tourbière;Foret
BV1;449913.28353931126;3452768.6745664827;5020681.21507521
BV2;0.0;632612.4531957294;342579.5265134596
BV3;1.5222228123035089;683730.0073610004;237858.78597140964
BV4;6882.836260555871;2126584.9806892844;2933185.23356789
BV5;365001.49058355874;2551333.17455997;4406844.613576861
