date;LH_baseflow_smoothed
2023-05-24 13:00:00;0.019304239934744127
2023-05-24 14:00:00;0.018919774688417986
2023-05-24 15:00:00;0.01866424122166789
2023-05-24 16:00:00;0.01849896000062101
2023-05-24 17:00:00;0.018363729910673563
2023-05-24 18:00:00;0.01838152334356138
2023-05-24 19:00:00;0.01825103816905069
2023-05-24 20:00:00;0.017990067820029296
2023-05-24 21:00:00;0.01756599100286955
2023-05-24 22:00:00;0.01727239936022049
2023-05-24 23:00:00;0.01701142901119911
2023-05-25 00:00:00;0.0167830799558054
2023-05-25 01:00:00;0.0167830799558054
2023-05-25 02:00:00;0.016750458662177725
2023-05-25 03:00:00;0.016815701249433067
2023-05-25 04:00:00;0.016815701249433067
2023-05-25 05:00:00;0.016913565130316083
2023-05-25 06:00:00;0.017011429011199102
2023-05-25 07:00:00;0.0170114290111991
2023-05-25 08:00:00;0.017141914185709792
2023-05-25 09:00:00;0.017435505828358847
2023-05-25 10:00:00;0.017761718764635576
2023-05-25 11:00:00;0.018055310407284635
2023-05-25 12:00:00;0.018251038169050677
2023-05-25 13:00:00;0.018185795581795325
2023-05-25 14:00:00;0.018055310407284635
2023-05-25 15:00:00;0.017761718764635576
2023-05-25 16:00:00;0.01743550582835884
2023-05-25 17:00:00;0.01707667159845444
2023-05-25 18:00:00;0.016619973487667025
2023-05-25 19:00:00;0.01639162443227332
2023-05-25 20:00:00;0.015967547615113573
2023-05-25 21:00:00;0.01551084950432615
2023-05-25 22:00:00;0.01492366621902804
2023-05-25 23:00:00;0.014466968108240616
2023-05-26 00:00:00;0.014042891291080864
2023-05-26 01:00:00;0.013749299648431808
2023-05-26 02:00:00;0.013618814473921116
2023-05-26 03:00:00;0.013651435767548792
2023-05-26 04:00:00;0.013945027410197859
2023-05-26 05:00:00;0.014303861640102259
2023-05-26 06:00:00;0.014662695870006659
2023-05-26 07:00:00;0.014923666219028043
2023-05-26 08:00:00;0.015184636568049416
2023-05-26 09:00:00;0.0154456069170708
2023-05-26 10:00:00;0.015804441146975202
2023-05-26 11:00:00;0.015934926321485892
2023-05-26 12:00:00;0.0161632753768796
2023-05-26 13:00:00;0.016359003138645644
2023-05-26 14:00:00;0.016489488313156334
2023-05-26 15:00:00;0.016391624432273308
2023-05-26 16:00:00;0.016195896670507266
2023-05-26 17:00:00;0.015837062440602866
2023-05-26 18:00:00;0.01544560691707079
2023-05-26 19:00:00;0.0149562875126557
2023-05-26 20:00:00;0.014401725520985259
2023-05-26 21:00:00;0.013879784822942493
2023-05-26 22:00:00;0.013357844124899723
2023-05-26 23:00:00;0.012999009894995325
2023-05-27 00:00:00;0.01273803954597394
2023-05-27 01:00:00;0.012574933077835575
2023-05-27 02:00:00;0.012444447903324884
2023-05-27 03:00:00;0.012444447903324883
2023-05-27 04:00:00;0.012411826609697208
2023-05-27 05:00:00;0.012477069196952559
2023-05-27 06:00:00;0.012770660839601619
2023-05-27 07:00:00;0.013129495069506017
2023-05-27 08:00:00;0.013618814473921116
2023-05-27 09:00:00;0.014140755171963884
2023-05-27 10:00:00;0.014695317163634326
2023-05-27 11:00:00;0.015249879155304768
2023-05-27 12:00:00;0.0155760920915815
2023-05-27 13:00:00;0.01564133467883684
2023-05-27 14:00:00;0.01557609209158149
2023-05-27 15:00:00;0.015412985623443126
2023-05-27 16:00:00;0.015217257861677084
2023-05-27 17:00:00;0.014923666219028015
2023-05-27 18:00:00;0.014466968108240592
2023-05-27 19:00:00;0.014075512584708516
2023-05-27 20:00:00;0.01355357188666575
2023-05-27 21:00:00;0.013064252482250656
2023-05-27 22:00:00;0.012574933077835559
2023-05-27 23:00:00;0.012183477554303483
2023-05-28 00:00:00;0.011759400737143733
2023-05-28 01:00:00;0.011531051681750025
2023-05-28 02:00:00;0.011531051681750027
2023-05-28 03:00:00;0.011498430388122358
2023-05-28 04:00:00;0.011596294269005382
2023-05-28 05:00:00;0.0118246433243991
2023-05-28 06:00:00;0.012052992379792815
2023-05-28 07:00:00;0.012052992379792815
2023-05-28 08:00:00;0.012020371086165141
2023-05-28 09:00:00;0.011857264618026775
2023-05-28 10:00:00;0.011726779443516085
2023-05-28 11:00:00;0.011465809094494692
2023-05-28 12:00:00;0.011323604665003968
2023-05-28 13:00:00;0.010913671163980385
2023-05-28 14:00:00;0.010270912365400333
2023-05-28 15:00:00;0.009697242551308466
2023-05-28 16:00:00;0.008989241165473066
2023-05-28 17:00:00;0.00824870761880406
2023-05-28 18:00:00;0.007377599764830291
2023-05-28 19:00:00;0.006804559795668341
2023-05-28 20:00:00;0.0062370583172210664
2023-05-28 21:00:00;0.005669556838773792
2023-05-28 22:00:00;0.0051346766539541915
2023-05-28 23:00:00;0.004585755032128742
2023-05-29 00:00:00;0.004024432688532367
2023-05-29 01:00:00;0.0037634607100965247
2023-05-29 02:00:00;0.003734685813701692
2023-05-29 03:00:00;0.0036410338678225084
2023-05-29 04:00:00;0.003982715279837883
2023-05-29 05:00:00;0.004103700512113442
2023-05-29 06:00:00;0.0042462770329402
2023-05-29 07:00:00;0.004623589240336109
2023-05-29 08:00:00;0.005191090718783383
2023-05-29 09:00:00;0.00588907737174135
2023-05-29 10:00:00;0.0064892001438163005
2023-05-29 11:00:00;0.007070743059269424
2023-05-29 12:00:00;0.0076764059514735005
2023-05-29 13:00:00;0.008176719218878942
2023-05-29 14:00:00;0.008491025761438125
2023-05-29 15:00:00;0.008678784323761549
2023-05-29 16:00:00;0.008402434631795583
2023-05-29 17:00:00;0.008187342783075783
2023-05-29 18:00:00;0.008044766262249025
